82,62,102,21,23,33,27,23,32,28,20,14,21,28,25,58,24,21,28,20,19,31,27,21,19,21,18,24,25,34,
184,90,120,43,45,50,55,51,58,44,43,44,39,52,53,94,45,52,53,41,53,51,54,45,45,46,34,37,50,64,
1 KB,283,119,147,84,69,72,82,82,98,70,79,76,74,81,87,124,71,88,82,69,86,84,80,68,71,85,69,63,77,95,
2 KB,388,158,179,112,100,101,124,112,125,94,120,128,99,113,121,164,110,115,114,101,118,118,112,119,103,126,107,96,123,127,
4 KB,483,191,210,145,131,142,164,146,154,117,155,163,138,141,152,231,151,147,145,129,155,154,149,156,136,163,140,134,153,155,
8 KB,709,239,251,180,175,194,200,202,184,174,188,205,191,203,190,282,191,187,214,169,196,210,198,204,183,207,186,191,193,202,
16 KB,923,298,349,250,254,260,327,261,237,237,248,332,248,274,255,395,357,244,278,227,298,271,259,271,319,267,272,260,263,279,
32 KB,1298,456,468,409,393,377,449,368,391,370,358,433,374,399,361,517,479,402,406,347,420,408,394,386,488,397,547,425,387,382,
64 KB,2014,909,730,725,682,722,770,698,712,747,796,751,667,672,689,778,815,703,727,694,709,676,681,761,791,766,831,732,769,664,
128 KB,3300,1427,1378,1319,1127,1220,1254,1339,1173,1218,1412,1297,1231,1180,1199,1233,1327,1264,1208,1115,1146,1270,1199,1240,1312,1376,1346,1211,1252,1150,
256 KB,7497,3797,3700,3378,3362,3283,3289,3334,3134,3398,3499,3299,3174,3268,3194,3172,3625,3228,3411,3139,3136,3280,3215,3431,3493,3389,3307,3381,3326,3183,
512 KB,15842,9943,10126,9168,8971,8982,9261,8902,9076,9055,9050,9306,8639,8796,8866,9000,9650,8909,8921,8832,9226,8838,8917,8915,9419,9252,8867,8921,9150,9065,
1 MB,32465,26011,26097,25264,24878,25001,25130,24686,25285,24990,24885,25180,24690,24743,24691,25207,25614,24942,24759,24656,25044,24651,24973,24831,25349,25124,24887,24838,25025,24976,
2 MB,65646,59163,59202,58370,58056,58093,58252,57793,58372,58084,58004,58287,57782,57856,57811,58304,58711,58043,57926,57741,58132,57827,58086,57926,58451,58249,58047,57956,58190,58127,
4 MB,131657,125166,125152,124343,123999,124031,124210,123742,124320,124018,123977,124311,123733,123825,123783,124305,124660,123983,123910,123667,124121,123763,124021,123859,124413,124221,124038,123957,124184,124088,
8 MB,263470,257059,257030,256224,255831,255860,256020,255510,256118,255876,255806,256116,255557,255632,255577,256109,256493,255774,255708,255460,256016,255621,255884,255643,256219,256037,255887,255770,255980,255954,
16 MB,526645,520227,520172,519367,519028,519065,519221,518670,519300,519057,518943,519230,518696,518759,518737,519235,519688,519005,518728,518642,519170,518766,519030,518775,519328,519200,519062,518899,519107,519086,
32 MB,1052458,1046124,1045976,1045253,1044898,1044970,1045027,1044485,1045186,1044914,1044844,1045113,1044531,1044663,1044603,1045134,1045498,1044810,1044642,1044459,1044983,1044612,1044893,1044590,1045124,1045041,1044925,1044729,1044965,1044987,
64 MB,2103667,2097374,2097184,2096488,2096155,2096210,2096254,2095725,2096465,2096110,2096032,2096320,2095763,2095823,2095833,2096416,2096681,2095973,2095855,2095760,2096195,2095791,2096100,2095860,2096313,2096248,2096122,2095910,2096227,2096232,
128 MB,4205680,4199356,4199138,4198413,4198057,4198171,4198218,4197663,4198456,4198111,4198058,4198357,4197684,4197873,4197754,4198360,4198696,4197956,4197786,4197736,4198097,4197837,4198087,4197854,4198270,4198195,4198079,4197922,4198227,4198209,
